@relation grid-weka.filters.unsupervised.attribute.GridJoin-weka.filters.unsupervised.attribute.GridAddLatLng-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last

@attribute kMeansEuclidean numeric
@attribute agglomerativeEuclidean numeric
@attribute kMeansCosine numeric
@attribute agglomerativeCosine numeric
@attribute cellId {(161;85),(182;254),(167;380),(210;419),(175;223),(254;175),(236;433),(183;255),(181;253),(181;415),(264;431),(236;418),(179;249),(209;419),(273;368),(183;256),(201;455),(317;514),(296;358),(306;445),(162;249),(181;363),(194;288),(187;246),(169;279),(266;431),(45;241),(195;266),(237;375),(182;264),(178;364),(171;250),(182;252),(174;284),(236;378),(157;248),(169;405),(267;431),(317;478),(187;364),(259;423),(238;432),(183;273),(161;419),(270;173),(259;354),(169;404),(334;332),(300;176),(193;269),(182;253),(236;440),(178;363),(189;367),(201;356),(186;246),(170;223),(324;360),(170;275),(194;270),(280;264),(169;293),(258;396),(169;281),(182;249),(182;334),(167;290),(237;434),(266;300),(192;271),(168;317),(182;274),(246;220),(274;173),(182;250),(265;218),(192;364),(243;432),(194;269),(189;255),(283;235),(170;248),(148;354),(242;431),(169;276),(217;424),(184;275),(211;237),(255;397),(51;281),(170;280),(172;253),(240;292),(171;248),(266;355),(172;248),(208;236),(230;410),(193;279),(182;251),(219;426),(188;364),(237;409),(236;402),(199;219),(246;364),(214;419),(170;225),(217;365),(169;299),(217;326),(183;264),(171;223),(159;393),(168;319),(190;364),(163;405),(167;350),(165;397),(170;404),(183;249),(170;278),(194;263),(183;253),(228;379),(158;248),(236;428),(193;270),(174;248),(187;368),(166;84),(268;431),(243;431),(189;363),(170;227),(265;431),(172;218),(181;252),(174;249),(191;274),(177;249),(172;250),(182;257),(239;429),(240;431),(243;250),(54;247),(161;247),(165;226),(151;242),(168;353),(162;248),(238;555),(163;248),(180;253),(181;249),(224;216),(204;417),(150;310),(162;82),(237;336),(318;514),(224;220),(182;283),(54;246),(416;329),(272;367),(164;248),(58;570),(281;236),(270;174),(165;86),(208;235),(166;292),(244;431),(175;249),(180;251),(152;313),(244;432),(324;305),(243;233),(162;421),(154;401),(166;289),(162;380),(227;378),(183;262),(205;192),(328;459),(264;373),(53;247),(258;401),(193;268),(168;402),(248;206),(189;364),(55;244),(169;280),(193;267),(163;79),(151;314),(178;228),(52;578),(320;275),(53;576),(181;355),(211;236),(170;281),(190;162),(266;556),(151;313),(189;253),(186;364),(283;233),(164;405),(181;413),(184;249),(170;420),(170;282),(173;227),(192;269),(229;378),(189;238),(168;401),(250;361),(222;412),(55;245),(162;211),(162;247),(298;412),(170;364),(270;273),(271;421),(179;220),(235;411),(236;417),(176;228),(187;369)}
@attribute latitude {39.992098525418136,39.97546737392452,39.987346767848535,39.95329250526636,39.98101109108906,39.91844628308927,39.932701555798076,39.97467541432959,39.97625933351945,39.91052668713992,39.97784325270932,39.954084464861296,39.90339905078552,39.96042014162077,39.868552828608415,39.88518398010203,39.87726438415269,39.9913065658232,39.96596385878531,39.97150757594985,39.985762848658666,39.90894276795005,40.083965838430494,39.96517189919037,39.93190959620314,39.978635212304255,39.9841789294688,39.98180305068399,39.995266363797874,39.90815080835512,39.914486485114594,39.93111763660821,39.90577492957032,39.855089515494534,39.882016141722296,39.96675581838024,39.96992365675998,39.972299535544785,39.98497088906373,39.86300911144387,39.897855333620974,39.91527844470953,39.96754777797518,39.9865548082536,39.92478195984874,39.90260709119058,39.909734727544986,39.92715783863354,39.89547945483618,40.00239400015228,39.927949798228475,39.947748788101826,39.973883454734654,39.952500545671434,39.91765432349433,40.07921408086089,39.98338696987386,39.929533717418344,39.95487642445623,39.93745331336768,39.94616486891196,39.970715616354916,39.96200406081064,39.95012466688663,39.993682444608005,39.96913169716505,39.99051460622827,39.9889306870384,39.93903723255755,39.99447440420294,39.98813872744346,39.90735884876018,39.96833973757011,39.97942717189919,39.93032567701327,40.07683820207609,40.000018121367475,39.977051293114386,39.942205070937284,39.95804426283597,40.00081008096241,39.86776086901348,39.79014882870994,39.90419101038045,39.98972264663333,40.07367036369635,39.89706337402604,39.926365879038606,39.99922616177255,39.99764224258268,39.93982919215249,39.957252303241034,39.85984127306414,40.077630161671024,39.92319804065887,40.076046242481155,40.07842212126596,39.86617694982361,39.98259501027893,39.93824527296262,39.921614121469,39.94378899012715,39.883600060912165,39.904982969975386,39.93349351539301,39.980219131494124}
@attribute longitude {116.19771254536687,116.33155371691073,116.43134062587242,116.46222705007486,116.30700296946777,116.26898890891093,116.47331448440394,116.33234567650567,116.3307617573158,116.45905921169512,116.47173056521407,116.46143509047992,116.32759391893606,116.42183711073322,116.3331376361006,116.49073759549249,116.5374632115936,116.41391751478388,116.48281799954314,116.41787731275855,116.3584803431385,116.32521804015126,116.35135270678408,116.32125824217658,116.34105723204993,116.42738082789776,116.33947331286006,116.41866927235348,116.328385878531,116.32996979772086,116.35531250475876,116.42975670668255,116.32680195934113,116.45113961574579,116.50895266617597,116.4653948884546,116.47252252480901,116.34660094921448,116.26740498972107,116.41074967640414,116.45034765615085,116.39332656531559,116.26978086850586,116.34343311083474,116.47885820156847,116.42104515113829,116.412333595594,116.41550143397374,116.34818486840435,116.34422507042967,116.36244014111315,116.44401197939138,116.35293662597395,116.39491048450546,116.36006426232835,116.47410644399888,116.3679838582777,116.34501703002461,116.38144717139159,116.34739290880941,116.30462709068297,116.3030431714931,116.31650648460698,116.34897682799928,116.46618684804953,116.31809040379684,116.44480393898631,116.35214466637902,116.36164818151822,116.41154163599907,116.31729844420191,116.45509941372045,116.32917783812593,116.4677707672394,116.45430745412551,116.44876373696098,116.30383513108804,116.30858688865764,116.41946123194842,116.36719189868276,116.38857480774598,116.44163610060657,116.38303109058144,116.4075818380244,116.35056074718915,116.33868135326513,116.43054866627749,116.46935468642927,116.19692058577193,116.31017080784751,116.33392959569554,116.4701466460242,116.32600999974619,116.30937884825258,116.32205020177152,116.4099577168092,116.5699335549859,116.30145925230323,116.46064313088499,116.37590345422704,116.19533666658207,116.39649440369533,116.35452054516382,116.39095068653079,116.58181294890991,116.26819694931599,116.1985045049618,116.37827933301185,116.37194365625237,116.3149225654171,116.46381096926473,116.44797177736605,116.35927230273343,116.3378893936702,116.28245222202482,116.49390543387223,116.4257969087079,116.3426411512398,116.29353965635389,116.32363412096139,116.34184919164487,116.19296078779726,116.37907129260678,116.31096276744245,116.58814862566939,116.58656470647952,116.25869343417679,116.57072551458083,116.45747529250525,116.4630190096698,116.35372858556889,116.31888236339178,116.41629339356868,116.45668333291032,116.32442608055632,116.29749945432856,116.45589137331538,116.42262907032816}
@attribute up1 numeric
@attribute dn1 numeric
@attribute up2 numeric
@attribute dn2 numeric
@attribute up3 numeric
@attribute dn3 numeric
@attribute up4 numeric
@attribute dn4 numeric
@attribute up5 numeric
@attribute dn5 numeric
@attribute up6 numeric
@attribute dn6 numeric
@attribute up7 numeric
@attribute dn7 numeric
@attribute up8 numeric
@attribute dn8 numeric

@data
2,0,2,1,(238;432),39.93111763660821,116.47252252480901,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
2,0,2,1,(183;273),39.97467541432959,116.34660094921448,-0.25,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0
2,0,2,1,(161;419),39.992098525418136,116.46222705007486,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(270;173),39.90577492957032,116.26740498972107,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(259;354),39.914486485114594,116.41074967640414,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
1,0,1,0,(169;404),39.985762848658666,116.45034765615085,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
0,0,0,0,(334;332),39.855089515494534,116.39332656531559,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,2,0,(300;176),39.882016141722296,116.26978086850586,-0.125,-0.125,0.875,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
0,0,1,0,(193;269),39.96675581838024,116.34343311083474,-0.125,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
3,1,0,0,(182;253),39.97546737392452,116.3307617573158,-0.125,-1.75,-1.125,0.25,-1.125,0.25,5.875,3.25,-2.125,-1.75,-2.125,-0.75,-1.125,1.25,1.875,-0.75
1,0,1,0,(236;440),39.932701555798076,116.47885820156847,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
2,0,2,1,(178;363),39.978635212304255,116.41787731275855,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(189;367),39.96992365675998,116.42104515113829,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(201;356),39.96042014162077,116.412333595594,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
2,0,2,1,(186;246),39.972299535544785,116.32521804015126,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(170;223),39.98497088906373,116.30700296946777,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(324;360),39.86300911144387,116.41550143397374,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(170;275),39.98497088906373,116.34818486840435,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(194;270),39.96596385878531,116.34422507042967,-0.375,0,-0.375,0,-0.375,0,2.625,0,-0.375,0,-0.375,0,-0.375,0,-0.375,0
0,0,0,0,(280;264),39.897855333620974,116.33947331286006,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(169;293),39.985762848658666,116.36244014111315,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(258;396),39.91527844470953,116.44401197939138,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,2,(169;281),39.985762848658666,116.35293662597395,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,0,0,(182;249),39.97546737392452,116.32759391893606,-0.25,0,-0.25,0,-0.25,0,0.75,0,-0.25,0,-0.25,0,-0.25,0,0.75,0
3,0,3,0,(182;334),39.97546737392452,116.39491048450546,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
0,0,0,0,(167;290),39.987346767848535,116.36006426232835,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
2,0,2,1,(237;434),39.93190959620314,116.47410644399888,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(266;300),39.90894276795005,116.3679838582777,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0
0,0,0,0,(192;271),39.96754777797518,116.34501703002461,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.875,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
0,0,0,0,(168;317),39.9865548082536,116.38144717139159,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,1,0,(182;274),39.97546737392452,116.34739290880941,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
0,0,0,0,(246;220),39.92478195984874,116.30462709068297,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(274;173),39.90260709119058,116.26740498972107,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,0,0,(182;250),39.97546737392452,116.328385878531,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(265;218),39.909734727544986,116.3030431714931,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(192;364),39.96754777797518,116.41866927235348,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0
1,2,1,0,(243;432),39.92715783863354,116.47252252480901,-1.125,-1,0.875,-1,-1.125,-1,-1.125,3,-1.125,-1,2.875,-1,0.875,2,-0.125,0
3,0,3,0,(194;269),39.96596385878531,116.34343311083474,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
0,0,0,0,(189;255),39.96992365675998,116.33234567650567,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(283;235),39.89547945483618,116.31650648460698,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(170;248),39.98497088906373,116.32680195934113,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0
0,0,1,2,(148;354),40.00239400015228,116.41074967640414,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(242;431),39.927949798228475,116.47173056521407,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.875,-0.125,-0.125
0,0,0,0,(169;276),39.985762848658666,116.34897682799928,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
2,0,2,1,(217;424),39.947748788101826,116.46618684804953,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
2,0,2,1,(184;275),39.973883454734654,116.34818486840435,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(211;237),39.952500545671434,116.31809040379684,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,3,0,(255;397),39.91765432349433,116.44480393898631,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
1,0,1,0,(51;281),40.07921408086089,116.35293662597395,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
0,0,1,2,(170;280),39.98497088906373,116.35214466637902,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
1,0,1,0,(172;253),39.98338696987386,116.3307617573158,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
1,0,1,0,(240;292),39.929533717418344,116.36164818151822,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
0,0,0,0,(171;248),39.9841789294688,116.32680195934113,-0.25,-0.125,-0.25,-0.125,-0.25,-0.125,1.75,0.875,-0.25,-0.125,-0.25,-0.125,-0.25,-0.125,-0.25,-0.125
0,0,0,0,(266;355),39.90894276795005,116.41154163599907,-0.125,-0.125,-0.125,-0.125,-0.125,0.875,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
0,0,1,3,(172;248),39.98338696987386,116.32680195934113,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,3,(208;236),39.95487642445623,116.31729844420191,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,2,(230;410),39.93745331336768,116.45509941372045,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,3,0,(193;279),39.96675581838024,116.35135270678408,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
3,0,3,0,(182;251),39.97546737392452,116.32917783812593,-0.375,0,-0.375,0,-0.375,0,0.625,0,-0.375,0,-0.375,0,-0.375,0,1.625,0
0,0,0,0,(219;426),39.94616486891196,116.4677707672394,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.875,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
1,0,0,0,(188;364),39.970715616354916,116.41866927235348,-0.125,-0.375,-0.125,-0.375,-0.125,-0.375,0.875,0.625,-0.125,-0.375,-0.125,-0.375,-0.125,1.625,-0.125,-0.375
2,0,2,1,(237;409),39.93190959620314,116.45430745412551,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
1,0,2,1,(236;402),39.932701555798076,116.44876373696098,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
0,0,0,0,(199;219),39.96200406081064,116.30383513108804,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(246;364),39.92478195984874,116.41866927235348,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(214;419),39.95012466688663,116.46222705007486,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,3,(170;225),39.98497088906373,116.30858688865764,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0
2,0,0,0,(217;365),39.947748788101826,116.41946123194842,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,3,0,(169;299),39.985762848658666,116.36719189868276,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
2,0,0,0,(217;326),39.947748788101826,116.38857480774598,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(183;264),39.97467541432959,116.33947331286006,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,2,(171;223),39.9841789294688,116.30700296946777,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(159;393),39.993682444608005,116.44163610060657,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,2,(168;319),39.9865548082536,116.38303109058144,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(190;364),39.96913169716505,116.41866927235348,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(163;405),39.99051460622827,116.45113961574579,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(167;350),39.987346767848535,116.4075818380244,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(165;397),39.9889306870384,116.44480393898631,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,2,1,(170;404),39.98497088906373,116.45034765615085,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0
3,0,0,0,(183;249),39.97467541432959,116.32759391893606,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(170;278),39.98497088906373,116.35056074718915,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,3,0,(194;263),39.96596385878531,116.33868135326513,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
0,0,0,0,(183;253),39.97467541432959,116.3307617573158,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(228;379),39.93903723255755,116.43054866627749,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
2,0,2,1,(158;248),39.99447440420294,116.32680195934113,-0.25,-0.125,-0.25,0.875,-0.25,-0.125,-0.25,-0.125,-0.25,-0.125,-0.25,-0.125,1.75,-0.125,-0.25,-0.125
1,0,1,0,(236;428),39.932701555798076,116.46935468642927,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0
0,0,1,0,(193;270),39.96675581838024,116.34422507042967,-0.125,-1,-0.125,-1,-0.125,-1,-0.125,3,-0.125,-1,0.875,-1,-0.125,-1,-0.125,3
0,0,0,0,(174;248),39.98180305068399,116.32680195934113,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0,-0.25,0,-0.25,0,-0.25,0
0,0,0,0,(187;368),39.97150757594985,116.42183711073322,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,0,(166;84),39.98813872744346,116.19692058577193,-0.125,-0.125,-0.125,-0.125,0.875,-0.125,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
0,0,0,0,(268;431),39.90735884876018,116.47173056521407,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,3,1,0,(243;431),39.92715783863354,116.47173056521407,-0.5,-2.875,-0.5,-2.875,-0.5,0.125,-0.5,8.125,-0.5,-2.875,1.5,-2.875,0.5,-0.875,0.5,4.125
0,0,0,0,(189;363),39.96992365675998,116.41787731275855,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(170;227),39.98497088906373,116.31017080784751,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(265;431),39.909734727544986,116.47173056521407,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(172;218),39.98338696987386,116.3030431714931,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(181;252),39.97625933351945,116.32996979772086,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,0,0,(174;249),39.98180305068399,116.32759391893606,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(191;274),39.96833973757011,116.34739290880941,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,3,0,(177;249),39.97942717189919,116.32759391893606,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0
0,0,0,0,(172;250),39.98338696987386,116.328385878531,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
3,0,0,0,(182;257),39.97546737392452,116.33392959569554,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,0,0,(239;429),39.93032567701327,116.4701466460242,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0
0,0,1,0,(240;431),39.929533717418344,116.47173056521407,-0.125,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.875
0,0,1,0,(243;250),39.92715783863354,116.328385878531,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875
0,0,1,0,(54;247),40.07683820207609,116.32600999974619,0,-0.25,0,-0.25,0,-0.25,0,1.75,0,-0.25,0,-0.25,0,-0.25,0,-0.25
0,0,1,0,(161;247),39.992098525418136,116.32600999974619,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,1,0,(165;226),39.9889306870384,116.30937884825258,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,1,0,(151;242),40.000018121367475,116.32205020177152,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,2,0,(168;353),39.9865548082536,116.4099577168092,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,2,0,(162;248),39.9913065658232,116.32680195934113,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
1,0,0,0,(238;555),39.93111763660821,116.5699335549859,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125
0,0,2,0,(163;248),39.99051460622827,116.32680195934113,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,1,0,(180;253),39.977051293114386,116.3307617573158,0,-0.375,0,-0.375,0,-0.375,0,2.625,0,-0.375,0,-0.375,0,-0.375,0,-0.375
3,0,2,0,(181;249),39.97625933351945,116.32759391893606,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,3,0,(224;216),39.942205070937284,116.30145925230323,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,2,0,(204;417),39.95804426283597,116.46064313088499,0,-0.5,0,3.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5
0,0,1,0,(150;310),40.00081008096241,116.37590345422704,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,3,0,(162;82),39.9913065658232,116.19533666658207,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
0,0,2,0,(237;336),39.93190959620314,116.39649440369533,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125
0,0,3,0,(318;514),39.86776086901348,116.5374632115936,0,-0.125,0,-0.125,0,0.875,0,-0.125,0,-0.125,0,-0.125,0,-0.125,0,-0.125
